Chemical composition,At Temperature (K),conductivity (S/cm),Seebeck coefficient (uV/K),Total thermal conductivity (W/mK),figure of merit ZT,Reference,Paper DOI
BiSbSe2.88Cl0.12,600,43.9,-264,0.44,0.4172256,Expt,10.1039/d0ra04065g
PbTe0.05Ag2Te0.95,600,207,-175.2,0.441,0.867,Expt,10.1039/c1jm13888j
Ag8SiSe6,473,350.06,-113.7,0.441,0.485384573093469,Expt,https://doi.org/10.1021/acsami.0c15877
AgBiSe2.0,625,40,-236,0.443,0.31431151241535,Expt,10.1021/ja312474n
Rb2Bi8Se13,625,10.23,-281,0.445,0.113450987359551,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
BiSbSe2.76Cl0.24,600,73.5,-222,0.45,0.4829832,Expt,10.1039/d0ra04065g
Ag8SiSe6,423,350.47,-112.74,0.4504,0.418358786952477,Expt,https://doi.org/10.1021/acsami.0c15877
BaBiTe3,372,103.5,-151.8,0.452,0.196285581079646,Expt,https://doi.org/10.1021/acs.chemmater.7b04123
AgBi0.7Sb0.3Se2,478,11.25,-327.78,0.454926881473228,0.127,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
Rb2Bi8Se13,428,11.8,-287.3,0.455,0.0916190178057143,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
AgBiSe2.0,675,40.4,-251,0.46,0.373486363043478,Expt,10.1021/ja312474n
BaBiTe3,323,97.49,-140,0.461,0.133880627331887,Expt,https://doi.org/10.1021/acs.chemmater.7b04123
Ag8SiSe6,473,393.18,-110.08,0.4636,0.486100394542385,Expt,https://doi.org/10.1021/acsami.0c15877
PbTe0.15Ag2Te0.85,650,112.75,-214.4,0.4638,0.763,Expt,10.1039/c1jm13888j
AgBiSe2.0,660,42.51,-272,0.4672,0.444293556164384,Expt,10.1039/c7dt04821a
PbTe0.05Ag2Te0.95,550,290,-154.6,0.469,0.8215,Expt,10.1039/c1jm13888j
AgBi0.7Sb0.3Se2,378,4,-361.11,0.46944155556,0.042,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
BiSbSe2.88Cl0.12,500,54.5,-232,0.47,0.312064680851064,Expt,10.1039/d0ra04065g
Ag8SiSe6,423,379.27,-107.78,0.47,0.39652206536412,Expt,https://doi.org/10.1021/acsami.0c15877
Rb2Bi8Se12.9935Cl0.0065,625,38.24,-260.63,0.474,0.342506144706751,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Ag0.98Nb0.02BiSe2.0,625,64.32,-225,0.474,0.429351265822785,Expt,10.1021/ja312474n
AgBi0.9Sb0.1Se2,478,205.35,-152.78,0.474655280107172,0.4827,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
AgBiSe2,400,0.36,-83.33,0.476,0.000210067227226891,Expt,https://doi.org/10.1021/acs.inorgchem.9b00874
Rb2Bi8Se12.9935Cl0.0065,526,36.76,-269.69,0.477,0.294830598730091,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Ag0.98Nb0.02BiSe2.0,675,64.3,-242.4,0.48,0.531298683,Expt,10.1021/ja312474n
BiSbSe2.82Cl0.18,700,84,-232,0.48,0.659344,Expt,10.1039/d0ra04065g
AgBi0.9Sb0.1Se2,378,163.12,-130.56,0.48102522800517,0.2185,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
AgBi0.7Sb0.3Se2,326,2.98,-383.33,0.482267250772203,0.0296,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag0.98Nb0.02BiSe2.0,577,63.05,-223.7,0.487,0.373821186025975,Expt,10.1021/ja312474n
